You are now connected to database "strava" as user "andrew-boyce".
 activity_id |                         name                          | distance | moving_time | elapsed_time |    type     |          sport_type           | location_country | kudos_count | suffer_score |        date         
          41 | Merry Christmas                                       |  34178.3 |        3603 |         3603 | VirtualRide | VirtualRide                   | United Kingdom   |          12 |           22 | 2024-12-24 21:58:16
          42 | More garage fun                                       |  34664.9 |        3600 |         3600 | VirtualRide | VirtualRide                   | United Kingdom   |          10 |           80 | 2024-12-22 12:37:26
          43 | All I want for Christmas is pain-free shins           |        0 |        1840 |         1840 | Rowing      | Rowing                        | United Kingdom   |          12 |           39 | 2024-12-20 13:14:35
          44 | VO2 Workout                                           |  24410.8 |        2460 |         2460 | VirtualRide | VirtualRide                   | United Kingdom   |          12 |           53 | 2024-12-19 15:46:23
          45 | Easy 45                                               |  26113.9 |        2702 |         2702 | VirtualRide | VirtualRide                   | United Kingdom   |           9 |           26 | 2024-12-18 19:07:17
          46 | Tuesday night fun                                     |  44659.2 |        4623 |         4623 | VirtualRide | VirtualRide                   | United Kingdom   |          11 |           81 | 2024-12-17 21:06:27
          47 | Easy hour, back in the garage 😎                      |  34794.3 |        3664 |         3664 | VirtualRide | VirtualRide                   | United Kingdom   |          10 |           23 | 2024-12-16 20:35:36
          48 | Little walk on the Downs with Calum                   |   5974.2 |        4477 |         4634 | Hike        | Hike                          | United Kingdom   |          14 |            8 | 2024-12-15 11:20:01
          49 | The hottest, sweatiest yoga of all time               |        0 |        3728 |         3728 | Workout     | Yoga                          | United Kingdom   |           9 |           13 | 2024-12-14 11:58:32
          50 | That was tough                                        |  31732.3 |        3602 |         3602 | Ride        | Ride                          | United Kingdom   |          14 |          101 | 2024-12-13 10:22:25
(50 rows)

